county,state,year,days_under0,dewPoint,precipAccumulation,precip,days_under_n10,days_over42,days_over32,humidity,temp_delta,temperatureMin,apparentTemperatureMin,precipIntensity
logan,CO,2013,0,46.0065027322,2.645,113,0,175,179,0.588306010929,26.5467759563,50.5569398907,48.3009289617,0.00216994535519
madison,ID,2010,0,35.1098907104,4.928,118,0,176,183,0.545464480874,28.7867213115,40.3672131148,37.4478688525,0.00154426229508
madison,ID,2011,0,36.2825543478,2.83,117,0,179,184,0.555543478261,28.015326087,41.207173913,38.3077173913,0.00152119565217
madison,ID,2013,0,37.500326087,0.203,103,0,178,184,0.524184782609,27.0969021739,43.4777173913,41.2542934783,0.00103913043478
madison,MT,2013,0,38.5596721311,1.331,111,0,174,182,0.556393442623,26.7416939891,42.5070491803,40.217431694,0.00207213114754
mccone,MT,2013,0,44.871420765,16.207,122,0,168,177,0.629781420765,22.1400546448,48.2281420765,46.1293989071,0.00301584699454
meagher,MT,2013,0,39.0009289617,2.992,117,0,174,177,0.545191256831,24.1147540984,45.5974863388,43.4,0.0021650273224
mesa,CO,2010,0,35.1950273224,0.177,90,0,183,183,0.400163934426,25.8917486339,51.3491256831,49.9706557377,0.00109289617486
mesa,CO,2011,0,35.6991847826,0.0,108,0,184,184,0.4275,25.1175543478,50.9082065217,49.3573369565,0.00163206521739
mesa,CO,2013,0,36.0943715847,2.355,101,0,179,182,0.413715846995,23.0912568306,53.0464480874,51.7947540984,0.00159617486339
mineral,CO,2010,0,32.6626775956,1.681,87,0,178,183,0.490109289617,25.8638797814,41.6789617486,37.7067213115,0.00125409836066
mineral,CO,2011,0,31.5491256831,1.761,109,0,179,183,0.456284153005,27.3827322404,42.3117486339,39.3410928962,0.00126612021858
mineral,CO,2013,0,33.46125,4.985,118,0,178,182,0.504891304348,23.7208695652,42.4361413043,39.7317934783,0.00171684782609
mineral,MT,2013,0,42.4006557377,0.422,95,0,177,183,0.589289617486,21.8559016393,48.163442623,46.8927868852,0.00187322404372
minidoka,ID,2010,0,36.5955191257,0.886,101,0,180,183,0.495464480874,27.0725136612,45.4755191257,42.9945355191,0.00119344262295
minidoka,ID,2011,0,38.2213586957,0.563,107,0,182,184,0.515760869565,26.9935326087,45.8923913043,43.4076630435,0.00107663043478
minidoka,ID,2013,0,38.4655737705,0.21,91,0,179,183,0.464207650273,25.5509289617,49.1251912568,47.4074863388,0.000791803278689
missoula,MT,2013,0,40.1818579235,1.451,111,0,176,183,0.550983606557,24.678579235,46.5740983607,44.6201639344,0.00168360655738
moffat,CO,2010,0,34.9573224044,3.218,106,0,178,183,0.474972677596,28.4744808743,44.8308196721,42.946010929,0.00126284153005
moffat,CO,2011,0,36.9649456522,3.042,115,0,183,184,0.533532608696,27.169076087,44.0230434783,42.1329347826,0.00178586956522
moffat,CO,2013,0,35.4754644809,5.265,101,0,174,179,0.477486338798,25.5895628415,46.0849180328,44.3580874317,0.00143606557377
montezuma,CO,2010,0,35.435136612,0.572,68,0,183,183,0.449344262295,30.6346994536,46.5089071038,44.2321857923,0.00135245901639
montezuma,CO,2011,0,33.1907608696,0.0,83,0,184,184,0.412445652174,29.9384782609,47.4572826087,45.29,0.00132336956522
montezuma,CO,2013,0,34.3651912568,0.0,89,0,180,183,0.415846994536,27.4189617486,49.0579234973,47.2964480874,0.00187322404372
montrose,CO,2010,0,33.9903825137,0.462,93,0,183,183,0.419890710383,25.6104918033,48.6068306011,47.2167759563,0.00134808743169
montrose,CO,2011,0,34.191576087,0.127,107,0,183,184,0.432717391304,24.9995652174,48.5880434783,46.907173913,0.00159076086957
montrose,CO,2013,0,35.0584699454,2.607,101,0,179,183,0.416393442623,24.1228415301,51.1721857923,49.8742076503,0.00153278688525
morgan,CO,2010,0,42.4427868852,0.0,103,0,183,183,0.523825136612,27.9081420765,50.6367759563,48.9669945355,0.00220491803279
morgan,CO,2011,0,41.8420652174,0.0,119,0,184,184,0.520923913043,27.724076087,50.3832608696,48.4100543478,0.00278315217391
morgan,CO,2013,0,43.8236065574,5.384,111,0,175,179,0.553770491803,26.5781420765,50.2605464481,48.2309289617,0.00229726775956
musselshell,MT,2013,0,41.6730601093,3.331,112,0,174,176,0.567267759563,22.6895081967,47.8397814208,45.5629508197,0.00257540983607
natrona,WY,2013,0,37.6715846995,19.01,106,0,171,177,0.494590163934,24.4436065574,47.5456284153,45.0545355191,0.00138524590164
